"","RegionFAO","catch_weighted_arth_mean_f","catch_weighted_geom_mean_f","catch_weighted_arth_mean_b","catch_weighted_geom_mean_b","fao_region_name","fao_region_long"
"1",21,1.69461637234627,1.13471590649355,0.949884112243136,0.784140807211335,"Atlantic, Northwest","21-Atlantic, Northwest"
"2",27,1.16714131370463,0.842676662635735,1.22079998775807,1.03274778112865,"Atlantic, Northeast","27-Atlantic, Northeast"
"3",31,1.4153669763447,1.11776885694222,1.02731103115259,0.970754408192381,"Atlantic, Western Central","31-Atlantic, Western Central"
"4",34,2.22134646012462,1.41855353295785,1.00484513414136,0.741078211331412,"Atlantic, Eastern Central","34-Atlantic, Eastern Central"
"5",37,1.59332857946862,0.957543539127451,1.24155549409786,0.983366615291123,"Mediterranean and Black Sea","37-Mediterranean and Black Sea"
"6",41,1.79191792615077,1.23540242394468,0.951964399342838,0.673484164585757,"Atlantic, Southwest","41-Atlantic, Southwest"
"7",47,1.84700690330699,1.64777750437356,0.720416160768903,0.673347798252311,"Atlantic, Southeast","47-Atlantic, Southeast"
"8",48,2.2490593687535,1.33330763759582,1.12185220249452,0.964793774151135,"Atlantic, Antarctic","48-Atlantic, Antarctic"
"9",51,2.02517186036598,1.31260792934594,1.09185030926239,0.915553940071136,"Indian Ocean, Western","51-Indian Ocean, Western"
"10",57,1.82256181825845,1.21112088956286,1.10898736720088,0.957561091912368,"Indian Ocean, Eastern","57-Indian Ocean, Eastern"
"11",58,1.14688349331377,0.838464500542219,0.269586497612984,0.24797274538204,"Indian Ocean, Antarctic and Southern","58-Indian Ocean, Antarctic and Southern"
"12",61,1.65382745274842,1.05926407736347,1.06463554428744,0.878735941350952,"Pacific, Northwest","61-Pacific, Northwest"
"13",67,0.733550836273507,0.650468638641939,1.25480333191459,1.20116456180062,"Pacific, Northeast","67-Pacific, Northeast"
"14",71,1.37657515433876,0.974853272667228,1.31862137219863,1.12809377049007,"Pacific, Western Central","71-Pacific, Western Central"
"15",77,1.29574953711003,0.938704607531803,1.33373607559775,1.21047496530964,"Pacific, Eastern Central","77-Pacific, Eastern Central"
"16",81,1.10718542353994,0.690598818388154,1.32775797576496,1.08429014696542,"Pacific, Southwest","81-Pacific, Southwest"
"17",87,1.29341976794659,0.939915414821298,1.34679937919413,0.950268375027032,"Pacific, Southeast","87-Pacific, Southeast"
"18",88,0.468870643252904,0.341809061031063,2.45894078596352,2.42300648388645,"Pacific, Antarctic","88-Pacific, Antarctic"
"19",NA,1.7311247200117,1.34262873597784,1.10944629616246,0.820935249162179,NA,NA
