,Id,IdOrig,Dbase,CommName,SciName,SpeciesCat,Country,RegionFAO,Year,Catch,CatchUnit,Biomass,BiomassUnit,BiomassMetric,Fmort,FmortUnit,FmortMetric,ExploitStatus,Bmsy,SSBmsy,Fmsy,Umsy,VonBertK,VonBertKUnit,VonBertKSource,Temp,TempUnit,TempSource,MaxLength,MaxLengthUnit,MaxLengthSource,AgeMat,AgeMatUnit,AgeMatSource
1,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1980,71940,E03,52824.36,MT,B,0.181,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
2,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1981,127730,E03,63262.2,MT,B,0.254,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
3,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1982,66270,E03,54244.23,MT,B,0.159,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
4,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1983,23820,E03,58999.78,MT,B,0.06,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
5,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1984,59420,E03,69818.6,MT,B,0.118,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
6,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1985,62410,E03,85627,MT,B,0.11,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
7,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1986,84140,E03,75240.88,MT,B,0.165,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
8,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1987,57610,E03,75470.75,MT,B,0.114,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
9,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1988,92680,E03,101382.44,MT,B,0.123,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
10,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1989,4900,E03,105135.41,MT,B,0.006,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
11,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1990,79400,E03,93423.68,MT,B,0.117,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
12,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1991,143910,E03,84716.2,MT,B,0.237,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
13,NA,ADFG-HERRPWS-1980-2006-COLLIE,RAM,Pacific herring,Clupea pallasii,35,USA,67,1992,192220,E03,96611.72,MT,B,0.256,1/yr,F?,NA,0,0,0,0,NA,,NA,NA,,NA,NA,,NA,NA,,NA
