assessid,assessorid,stockid,recorder,dateloaded,daterecorded,assessyear,assesssource,contacts,notes,pdffile,assess,refpoints,assessmethod,assesscomments,xlsfilename,mostrecent,tsn,scientificname,genus,species,assessid,bioid,biovalue,bioyear,bionotes,stockid,scientificname,commonname,stocklong,commonname1,family
IMARPE-PANCHPERUNC-1963-2004-RICARD,IMARPE,PANCHPERUNC,RICARD,7/25/11,7/21/10,1963-2004,URL,contact details ,,Cahuin_etal_2009.pdf,1,0,VPA,no comments,../spreadsheets/RICARD-PERUVIANANCHOVETA-1963-2004-editedDR.xls,yes,551340,Engraulis ringens,Engraulis,ringens,IMARPE-PANCHPERUNC-1963-2004-RICARD,REC-AGE-yr,0,2009,,PANCHPERUNC,Engraulis ringens,Peruvian anchoveta,Peruvian anchoveta North-Central Peru,Peruvian anchoveta,Engraulidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,SSB-SEX-sex,0,NULL,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,REC-AGE-yr,0,NULL,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,REC-ESTIMATED-yr-yr,NA (always models),NULL,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,TB-TYPE-0-1,0,NULL,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,TB-AGE-yr,0,NULL,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,MAT-SEX-sex,0,NULL,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,MAT-MODEL-option,logistic,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,MAT-SLOPE-dimensionless,-0.5,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,Habitat-Habitat,Demersal marine,NULL,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
CSIRO-BIGHTREDSE-1958-2007-FULTON,CSIRO,BIGHTREDSE,FULTON,7/25/11,4/30/08,1958-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,BIGHTREDDEEPFLATSE.pdf,1,1,SS2,Used V1.23d of SS2,../spreadsheets/Fulton-bight_redfish-australia-2007_v2-editedDR-QAQC.xls,yes,622143,Centroberyx gerrardi,Centroberyx,gerrardi,CSIRO-BIGHTREDSE-1958-2007-FULTON,L50-cm,25,2007,,BIGHTREDSE,Centroberyx gerrardi,Bight redfish,Bight redfish Southeast Australia,Bight redfish,Berycidae
